county-state,POPESTIMATE2019
"Alabama, AL",4903185
"Autauga County, AL",55869
"Baldwin County, AL",223234
"Barbour County, AL",24686
"Bibb County, AL",22394
"Blount County, AL",57826
"Bullock County, AL",10101
"Butler County, AL",19448
"Calhoun County, AL",113605
"Chambers County, AL",33254
"Cherokee County, AL",26196
"Chilton County, AL",44428
"Choctaw County, AL",12589
"Clarke County, AL",23622
"Clay County, AL",13235
"Cleburne County, AL",14910
"Coffee County, AL",52342
"Colbert County, AL",55241
"Conecuh County, AL",12067
"Coosa County, AL",10663
"Covington County, AL",37049
"Crenshaw County, AL",13772
"Cullman County, AL",83768
"Dale County, AL",49172
"Dallas County, AL",37196
"DeKalb County, AL",71513
"Elmore County, AL",81209
"Escambia County, AL",36633
"Etowah County, AL",102268
"Fayette County, AL",16302
"Franklin County, AL",31362
"Geneva County, AL",26271
"Greene County, AL",8111
"Hale County, AL",14651
"Henry County, AL",17205
"Houston County, AL",105882
"Jackson County, AL",51626
"Jefferson County, AL",658573
"Lamar County, AL",13805
"Lauderdale County, AL",92729
"Lawrence County, AL",32924
"Lee County, AL",164542
"Limestone County, AL",98915
"Lowndes County, AL",9726
"Macon County, AL",18068
"Madison County, AL",372909
"Marengo County, AL",18863
"Marion County, AL",29709
"Marshall County, AL",96774
"Mobile County, AL",413210
"Monroe County, AL",20733
"Montgomery County, AL",226486
"Morgan County, AL",119679
"Perry County, AL",8923
"Pickens County, AL",19930
"Pike County, AL",33114
"Randolph County, AL",22722
"Russell County, AL",57961
"St. Clair County, AL",89512
"Shelby County, AL",217702
"Sumter County, AL",12427
"Talladega County, AL",79978
"Tallapoosa County, AL",40367
"Tuscaloosa County, AL",209355
"Walker County, AL",63521
"Washington County, AL",16326
"Wilcox County, AL",10373
"Winston County, AL",23629
"Alaska, AK",731545
"Aleutians East Borough, AK",3337
"Aleutians West Census Area, AK",5634
"Anchorage Municipality, AK",288000
"Bethel Census Area, AK",18386
"Bristol Bay Borough, AK",836
"Denali Borough, AK",2097
"Dillingham Census Area, AK",4916
"Fairbanks North Star Borough, AK",96849
"Haines Borough, AK",2530
"Hoonah-Angoon Census Area, AK",2148
"Juneau City and Borough, AK",31974
"Kenai Peninsula Borough, AK",58708
"Ketchikan Gateway Borough, AK",13901
"Kodiak Island Borough, AK",12998
"Kusilvak Census Area, AK",8314
"Lake and Peninsula Borough, AK",1592
"Matanuska-Susitna Borough, AK",108317
