FIPS,county-state,sq_mi,land_sq_mi,water_sq_mi
45001,"Abbeville, SC",511.05,508.03,3.02
22001,"Acadia, LA",657.62,655.28,2.33
51001,"Accomack, VA",1310.05,455.24,854.8
16001,"Ada, ID",1060.33,1054.99,5.34
19001,"Adair, IA",570.31,569.3,1
21001,"Adair, KY",412.23,406.84,5.39
29001,"Adair, MO",569.32,567,2.31
40001,"Adair, OK",577.03,575.67,1.36
8001,"Adams, CO",1197.71,1191.93,5.78
19003,"Adams, IA",425.41,423.54,1.87
16003,"Adams, ID",1370,1364.58,5.43
17001,"Adams, IL",871.28,856.63,14.64
18001,"Adams, IN",339.93,339.36,0.57
28001,"Adams, MS",486.25,460.26,25.99
38001,"Adams, ND",988.84,987.91,0.92
31001,"Adams, NE",564.16,563.41,0.76
39001,"Adams, OH",585.79,583.91,1.88
42001,"Adams, PA",521.52,520.01,1.51
53001,"Adams, WA",1929.69,1924.96,4.73
55001,"Adams, WI",688.51,647.74,40.78
50001,"Addison, VT",808.3,770.18,38.12
45003,"Aiken, SC",1080.46,1072.66,7.79
27001,"Aitkin, MN",1995.31,1819.3,176.01
12001,"Alachua, FL",969.12,874.25,94.88
37001,"Alamance, NC",434.77,429.99,4.78
6001,"Alameda, CA",821.15,737.57,83.57
8003,"Alamosa, CO",723.53,722.74,0.78
36001,"Albany, NY",533.21,523.45,9.76
56001,"Albany, WY",4308.79,4272.75,36.04
51003,"Albemarle, VA",726.18,722.61,3.58
26001,"Alcona, MI",1790.54,674.43,1116.1
28003,"Alcorn, MS",401.35,399.89,1.46
2013,"Aleutians East, AK",15011.6,6988.14,8023.46
2016,"Aleutians West, AK",14116.51,4396.77,9719.74
17003,"Alexander, IL",252.54,236.38,16.16
37003,"Alexander, NC",263.14,260.18,2.95
51510,"Alexandria, VA",15.41,15.18,0.23
40003,"Alfalfa, OK",881.44,866.65,14.79
26003,"Alger, MI",5049.08,917.83,4131.25
19005,"Allamakee, IA",658.71,639.56,19.14
26005,"Allegan, MI",1833.3,827.46,1005.83
24001,"Allegany, MD",429.82,425.42,4.4
36003,"Allegany, NY",1034.42,1030.22,4.2
37005,"Alleghany, NC",235.52,234.65,0.87
51005,"Alleghany, VA",445.67,444.63,1.04
42003,"Allegheny, PA",744.71,730.17,14.54
18003,"Allen, IN",660.1,657.25,2.85
20001,"Allen, KS",505.18,503.01,2.18
21003,"Allen, KY",352.04,346.12,5.92
22003,"Allen, LA",765.67,764.5,1.17
39003,"Allen, OH",406.88,404.43,2.46
45005,"Allendale, SC",412.58,408.2,4.38
26007,"Alpena, MI",1695,574.15,1120.85
6003,"Alpine, CA",743.19,738.62,4.57
6005,"Amador, CA",604.69,592.97,11.73
51007,"Amelia, VA",358.54,356.8,1.74
51009,"Amherst, VA",478.78,475.18,3.6
28005,"Amite, MS",731.64,729.6,2.04
2020,"Anchorage, AK",1961.09,1697.21,263.88
20003,"Anderson, KS",584.29,582.92,1.38
21005,"Anderson, KY",204.28,202.67,1.61
45007,"Anderson, SC",757.45,718.02,39.43
47001,"Anderson, TN",344.82,337.51,7.31
48001,"Anderson, TX",1077.95,1070.79,7.16
29003,"Andrew, MO",436.5,435.18,1.32
48003,"Andrews, TX",1500.99,1500.64,0.36
23001,"Androscoggin, ME",497.23,470.27,26.95
48005,"Angelina, TX",864.45,801.56,62.89
24003,"Anne Arundel, MD",587.9,415.94,171.96
27003,"Anoka, MN",446.26,423.61,22.65
37007,"Anson, NC",537.13,531.57,5.56
31003,"Antelope, NE",858.43,857.06,1.37
26009,"Antrim, MI",601.9,476.94,124.97
4001,"Apache, AZ",11218.42,11204.88,13.54
19007,"Appanoose, IA",516.35,496.25,20.1
13001,"Appling, GA",512.11,508.51,3.61
51011,"Appomattox, VA",334.73,333.69,1.05
48007,"Aransas, TX",527.95,251.86,276.09
8005,"Arapahoe, CO",805.43,803.14,2.29
48009,"Archer, TX",925.78,909.7,16.09
8007,"Archuleta, CO",1355.48,1350.22,5.26
26011,"Arenac, MI",680.81,366.84,313.97
5001,"Arkansas, AR",1033.79,988.49,45.3
51013,"Arlington, VA",25.96,25.87,0.09
42005,"Armstrong, PA",664.44,653.93,10.51
48011,"Armstrong, TX",913.81,913.63,0.18
23003,"Aroostook, ME",6828.79,6671.54,157.25
31005,"Arthur, NE",718.32,715.37,2.95
22005,"Ascension, LA",302.88,291.53,11.35
37009,"Ashe, NC",426.78,426.13,0.65
39005,"Ashland, OH",426.85,424.37,2.47
55003,"Ashland, WI",2293.73,1043.82,1249.91
5003,"Ashley, AR",939.08,921.15,17.93
39007,"Ashtabula, OH",1368.47,702.44,666.03
53003,"Asotin, WA",640.69,635.34,5.34
22007,"Assumption, LA",364.55,338.68,25.87
48013,"Atascosa, TX",1235.61,1232.12,3.49
20005,"Atchison, KS",435.04,432.34,2.7
29005,"Atchison, MO",547.36,544.72,2.64
39009,"Athens, OH",508.54,506.76,1.78
13003,"Atkinson, GA",344.1,338.04,6.05
34001,"Atlantic, NJ",671.45,561.07,110.37
40005,"Atoka, OK",990,978.29,11.71
28007,"Attala, MS",737.1,735.13,1.97
29007,"Audrain, MO",696.79,693.1,3.69
19009,"Audubon, IA",443.58,443.13,0.44
39011,"Auglaize, OH",401.72,401.25,0.47
51015,"Augusta, VA",970.93,970.36,0.57
46003,"Aurora, SD",712.53,708.18,4.35
48015,"Austin, TX",656.37,652.59,3.78
1001,"Autauga, AL",604.45,595.97,8.48
37011,"Avery, NC",247.21,247,0.2
22009,"Avoyelles, LA",865.67,832.44,33.24
8009,"Baca, CO",2557.09,2555.72,1.37
13005,"Bacon, GA",285.92,284.95,0.97
48017,"Bailey, TX",827.38,826.69,0.68
12003,"Baker, FL",588.89,585.21,3.67
13007,"Baker, GA",349.17,343.22,5.95
41001,"Baker, OR",3088.43,3068.12,20.32
1003,"Baldwin, AL",2026.93,1596.35,430.58
13009,"Baldwin, GA",267.5,258.45,9.05
21007,"Ballard, KY",273.6,251.16,22.44
24510,"Baltimore city, MD",92.08,80.8,11.27
24005,"Baltimore, MD",682.03,598.59,83.44
45009,"Bamberg, SC",395.47,393.25,2.22
48019,"Bandera, TX",797.54,791.73,5.81
13011,"Banks, GA",233.87,233.67,0.2
31007,"Banner, NE",746.37,746.22,0.15
16005,"Bannock, ID",1147.46,1113.3,34.16
26013,"Baraga, MI",1068.85,904,164.85
20007,"Barber, KS",1136.21,1134.11,2.1
1005,"Barbour, AL",904.52,884.9,19.61
54001,"Barbour, WV",342.75,340.79,1.96
38003,"Barnes, ND",1513.23,1491.65,21.58
25001,"Barnstable, MA",1305.62,395.51,910.1
